Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
38162,22,"Collective Bargaining Agreement between the District of Columbia Government Metropolitan Police Department and the Fraternal Order of Police MPD Labor Committee (Compensation Unit 3) Approval Resolution of 2017
",Chairman Mendelson,PR22-0326,,,2017-05-17,2017-05-22,Retained by the Council,,,,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/38162/PR22-0326-Introduction.pdf
38138,22,Homeless Services Amendment Act of 2017,Chairman Mendelson,B22-0293,,,2017-05-15,2017-05-19,Committee on Human Services,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38138/B22-0293-Introduction.pdf
38129,22,Inclusionary Zoning Consistency Amendment Emergency Act of 2017,Chairman Mendelson and Councilmember Silverman,B22-0291,,,2017-05-16,2017-05-19,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/38129/B22-0291-Introduction.pdf
38128,22,Inclusionary Zoning Consistency Emergency Declaration Resolution of 2017,Chairman Mendelson and Councilmember Silverman,PR22-0316,,R22-0117,2017-05-16,2017-05-17,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/38128/PR22-0316-Introduction.pdf
38127,22,Senior Citizen Real Property Tax Relief Amendment Act of 2017,"Councilmembers Gray, Cheh, T. White, Bonds, Evans, McDuffie, R. White, and Todd",B22-0290,,,2017-05-16,2017-05-22,Committee on Finance and Revenue,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38127/B22-0290-Introduction.pdf
38126,22,Office to Affordable Housing Task Force Establishment Act of 2017,"Councilmembers R. White, Todd, Gray, Silverman, Grosso, Cheh, and Bonds",B22-0289,,,2017-05-16,2017-05-22,Committee on Housing and Neighborhood Revitalization ,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38126/B22-0289-Introduction.pdf
38125,22,Human Rights Amendment Act of 2017,"Councilmembers Allen, Grosso, Todd, Bonds, Cheh, Gray, and R. White",B22-0288,,,2017-05-16,2017-05-22,Committee on Judiciary and Public Safety,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38125/B22-0288-Introduction.pdf
38124,22,Injured Metropolitan Police Officer Relief Amendment Act of 2017,Councilmember Allen and Chairman Mendelson,B22-0287,,,2017-05-16,2017-05-22,Committee on Judiciary and Public Safety,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38124/B22-0287-Introduction.pdf
38123,22,Diversity in Fund Management Amendment Act of 2017,Councilmembers McDuffie and R. White,B22-0286,,,2017-05-16,2017-05-22,Committee of the Whole,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38123/B22-0286-Introduction.pdf
38122,22,Community Impact Investment Tax Credit Act of 2017,"Councilmembers Grosso, Allen, R. White, Silverman, and Bonds",B22-0285,,,2017-05-16,2017-05-22,Committee on Finance and Revenue and Committee on Housing and Neighborhood Revitalization ,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38122/B22-0285-Introduction.pdf
