Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
37925,22,"Proposed contract with Skanska USA Building, Inc. ",Chairman Mendelson,CA22-0081,,,2017-04-12,2017-04-14,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37925/CA22-0081-Introduction.pdf
37924,22,Correspondence from the DCHFA - Annual Report for Fiscal Year 2016: Continuous Growth in Affordable Housing,Chairman Phil Mendelson,RC22-0045,,,2017-04-13,2017-04-13,,,,,New,Report,Other,http://lims.dccouncil.us/Download/37924/RC22-0045-Introduction.pdf
37923,22,Notification of a Proposed Revenue Bond Issuance by the District of Columbia Housing Finance Agency,Chairman Mendelson,HFA22-0005,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-06-15,New,Housing Finance Agency,Housing Finance Agency,http://lims.dccouncil.us/Download/37923/HFA22-0005-Introduction.pdf
37922,22,Proposed contract with Fort Myer Construction Corporation ,Chairman Mendelson,CA22-0080,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37922/CA22-0080-Introduction.pdf
37921,22,Proposed contract with HRGM Corporation ,Chairman Mendelson,CA22-0079,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37921/CA22-0079-Introduction.pdf
37920,22,"Correspondence from the OPC-DC - Value of Solar Study: Distributed Solar in the District of Columbia - Policy Options, Potential, Value of Solar and Cost-Shifting and the Solar Generation Potential and Integration of Distributed Energy Resources in Low and Middle Income Communities in Washington, DC",Chairman Phil Mendelson,RC22-0044,,,2017-04-12,2017-04-14,,,,,New,Report,Other,http://lims.dccouncil.us/Download/37920/RC22-0044-Introduction.pdf
37919,22,"Proposed contract with MCN Build, Inc.",Chairman Mendelson,CA22-0078,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37919/CA22-0078-Introduction.pdf
37918,22,"Proposed contract with GCS, Inc. ",Chairman Mendelson,CA22-0077,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37918/CA22-0077-Introduction.pdf
37917,22,Proposed contract to exercise option year three (3) with Liberty Healthcare Corporation,Chairman Mendelson,CA22-0076,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37917/CA22-0076-Introduction.pdf
37916,22,Sense of the Council Reaffirming the District's Commitment to Climate Change Action Resolution of 2017,"Councilmembers Cheh, Bonds, Silverman, Gray, R. White, Grosso, Todd, Allen, Evans, and Chairman Mendelson",PR22-0261,,,2017-04-04,2017-04-13,Committee on Transportation and the Environment,,,,Under Council Review,Resolution,Proposed Resolution,
37915,22,"Request to reprogram $1,373,100 of Local Funds Budget Authority within the Department of Corrections",Chairman Mendelson,REPROG22-0033,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-27,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/37915/REPROG22-0033-Introduction.pdf
37914,22,"Request to reprogram $500,000 of Special Purpose Revenue Funds Budget Authority from the Department of Energy and Environment to the Pay-As-You-Go Capital Fund",Chairman Mendelson,REPROG22-0032,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-27,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/37914/REPROG22-0032-Introduction.pdf
37913,22,Proposed loan agreement between the Department of Housing and Community Development (DHCD) and Spring Road LLC (Borrower),Chairman Mendelson,CA22-0075,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37913/CA22-0075-Introduction.pdf
37912,22,"Proposed loan agreement between the Department of Housing and Community Development (DHCD) and Hanover Courts Owner, LLC (Borrower)",Chairman Mendelson,CA22-0074,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37912/CA22-0074-Introduction.pdf
37911,22,Proposed loan agreement between the Department of Housing and Community Development (DHCD) and 4040 8th Street LLC (Borrower),Chairman Mendelson,CA22-0073,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37911/CA22-0073-Introduction.pdf
37910,22,"Proposed contract with WKM Solutions, LLC",Chairman Mendelson,CA22-0072,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37910/CA22-0072-Introduction.pdf
37909,22,Proposed contract with Mainline Information Systems,Chairman Mendelson,CA22-0071,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37909/CA22-0071-Introduction.pdf
37908,22,"Proposed contract modification for Option Year One (1) of Contract CW39509 with PTS Inc. 
",Chairman Mendelson,CA22-0070,,,2017-04-12,2017-04-13,Retained by the Council,,Approved,2017-04-23,New,Contract,Contract,http://lims.dccouncil.us/Download/37908/CA22-0070-Introduction.pdf
37907,22,Correspondence from the Mayor - OSSE Report on Implementation of Strong Start Quarter 1,Chairman Phil Mendelson,RC22-0043,,,2017-04-12,2017-04-12,,,,,New,Report,Other,http://lims.dccouncil.us/Download/37907/RC22-0043-Introduction.pdf
37906,22,"Correspondence from the Mayor - DOES The Working Group on Jobs, Wages, and Benefits Final Report",Chairman Phil Mendelson,RC22-0042,,,2017-04-12,2017-04-12,,,,,New,Report,Other,http://lims.dccouncil.us/Download/37906/RC22-0042-Introduction.pdf
37905,22,Office of the Chief Financial Officer: Internal Controls Over the District's Commercial Real Property Assessment Process,Chairman Phil Mendelson,IG22-0018,,,2017-04-12,2017-04-12,,,,,New,Report,Inspector General,http://lims.dccouncil.us/Download/37905/IG22-0018-Introduction.pdf
37904,22,Office of the Chief Financial Officer: Evaluation of the District of Columbia Government's Management and Valuation of Commercial Real Property Assessments,Chairman Phil Mendelson,IG22-0017,,,2017-04-12,2017-04-12,,,,,New,Report,Inspector General,http://lims.dccouncil.us/Download/37904/IG22-0017-Introduction.pdf
