Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
38638,22,"Proposed Sole Source contract with Johnson Control, Inc. ",Chairman Mendelson,CA22-0243,,,2017-08-28,2017-08-29,Retained by the Council,,Approved,2017-09-08,New,Contract,Contract,http://lims.dccouncil.us/Download/38638/CA22-0243-Introduction.pdf
38637,22,Correspondence from the Mayor - DMV 2016 Annual Parking and Enforcement Report,Chairman Mendelson at the request of the Mayor,RC22-0078,,,2017-08-25,2017-08-28,,,,,New,Report,Other,http://lims.dccouncil.us/Download/38637/RC22-0078-Introduction.pdf
38636,22,Correspondence from the Mayor - DMV 2016 Annual Suspension and Revocation Report,Chairman Mendelson at the request of the Mayor,RC22-0077,,,2017-08-25,2017-08-28,,,,,New,Report,Other,http://lims.dccouncil.us/Download/38636/RC22-0077-Introduction.pdf
38635,22,Correspondence from the Mayor - OSSE Report on Implementation of Strong Start Quarter 3,Chairman Mendelson at the request of the Mayor,RC22-0076,,,2017-08-24,2017-08-25,,,,,New,Report,Other,http://lims.dccouncil.us/Download/38635/RC22-0076-Introduction.pdf
38634,22,Correspondence from the Mayor – Kingman Island Heritage Island Planning and Feasibility Study,Chairman Mendelson at the request of the Mayor,RC22-0075,,,2017-08-24,2017-08-28,,,,,New,Report,Other,http://lims.dccouncil.us/Download/38634/RC22-0075-Introduction.pdf
38633,22,Correspondence from the Mayor - OSSE Non-Resident Student Review and Findings,Chairman Mendelson at the request of the Mayor ,RC22-0074,,,2017-08-24,2017-08-25,,,,,New,Report,Other,http://lims.dccouncil.us/Download/38633/RC22-0074-Introduction.pdf
38632,22,Public Oversight Roundtable: The Interagency Council on Homelessness Youth Strategic Plan: Comprehensive Plan to End Youth Homelessness,NONE,HR22-0060,,,2017-05-24,2017-08-23,Committee on Human Services,,,,Under Council Review,Oversight Hearing Record,Oversight Hearing Record,
38631,22,Correspondence from the CIC - Rivers Correctional Institution Inspection Report,Chairman Phil Mendelson,RC22-0073,,,2017-08-18,2017-08-18,,,,,Under Council Review,Report,Other,http://lims.dccouncil.us/Download/38631/RC22-0073-Introduction.pdf
38630,22,Proposed contract with Public Consulting Group Inc. ,Chairman Mendelson,CA22-0242,,,2017-08-17,2017-08-17,Retained by the Council,,Approved,2017-08-28,Deemed Approved,Contract,Contract,http://lims.dccouncil.us/Download/38630/CA22-0242-Introduction.pdf
38629,22,"Correspondence from the Mayor - OVSJG Private Security Camera Incentive Program Report (Data as of July 31, 2017)",Chairman Phil Mendelson,RC22-0072,,,2017-08-17,2017-08-17,,,,,Under Council Review,Report,Other,http://lims.dccouncil.us/Download/38629/RC22-0072-Introduction.pdf
